date,region,temp_avg_c,temp_max_c,temp_min_c,precip_mm,sunshine_h,snowfall_cm,humidity_pct,station_count
2015-01-01,中国,0.9285714285714286,4.057142857142857,-1.5428571428571427,7.714285714285714,2.957142857142857,10.0,68.71428571428571,7
2015-01-01,中部,0.25333333333333335,3.533333333333333,-2.3666666666666667,9.5,2.353333333333333,11.090909090909092,71.46666666666667,15
2015-01-01,九州沖縄,4.25,7.65,1.4625,0.8125,3.0125,0.4,57.125,8
2015-01-01,北海道,-4.7,-2.1125,-8.025,1.5625,3.9625,3.75,71.75,8
2015-01-01,四国,2.725,5.625,0.425,0.0,5.699999999999999,0.0,50.5,4
2015-01-01,東北,-0.9875,1.3625,-3.3875,3.125,3.6,5.0,73.0,8
2015-01-01,近畿,1.95,4.8375,-0.38750000000000007,7.9375,4.0,10.285714285714286,69.75,8
2015-01-01,関東,2.9555555555555557,7.133333333333334,-0.6444444444444445,0.0,2.8444444444444446,0.0,45.333333333333336,9
2015-01-02,中国,1.457142857142857,4.985714285714286,-1.1428571428571428,3.7142857142857144,3.8857142857142857,3.2,71.28571428571429,7
2015-01-02,中部,-0.11333333333333333,3.76,-3.6599999999999997,9.0,3.966666666666667,8.818181818181818,71.06666666666666,15
2015-01-02,九州沖縄,5.15,8.1,1.775,1.1875,2.25,0.0,62.75,8
2015-01-02,北海道,-6.7875,-3.0875,-10.35,3.125,5.85,3.875,68.625,8
2015-01-02,四国,2.925,7.35,0.10000000000000009,0.0,4.65,0.0,53.75,4
2015-01-02,東北,-1.4875,0.9625,-3.6125,3.625,2.3625,5.75,75.875,8
2015-01-02,近畿,1.5875,5.1,-0.7375,5.3125,2.9375,6.142857142857143,69.875,8
2015-01-02,関東,1.9000000000000001,7.111111111111111,-2.7222222222222223,0.0,6.055555555555555,0.0,45.333333333333336,9
2015-01-03,中国,3.2714285714285714,7.914285714285714,-0.24285714285714288,0.5714285714285714,5.528571428571429,0.2,72.14285714285714,7
2015-01-03,中部,1.0533333333333332,5.166666666666667,-2.3333333333333335,2.0,5.6466666666666665,1.0909090909090908,69.86666666666666,15
2015-01-03,九州沖縄,5.325,10.2875,0.3499999999999999,0.0,6.6625,0.0,66.0,8
2015-01-03,北海道,-7.15,-3.3875,-11.425,0.8125,6.012499999999999,1.25,66.375,8
2015-01-03,四国,4.05,8.875,0.22500000000000003,0.0,7.0,0.0,60.75,4
2015-01-03,東北,-1.1,1.2874999999999999,-3.625,3.625,2.9125,5.625,71.25,8
2015-01-03,近畿,2.65,6.625,-0.4625,2.25,3.9875,0.2857142857142857,76.5,8
2015-01-03,関東,2.966666666666667,8.31111111111111,-1.7333333333333334,0.0,9.322222222222223,0.0,46.888888888888886,9
2015-01-04,中国,6.128571428571428,11.4,1.7857142857142858,0.07142857142857142,3.3428571428571425,0.0,76.57142857142857,7
2015-01-04,中部,2.36,7.153333333333333,-1.8333333333333333,5.733333333333333,4.746666666666667,0.09090909090909091,74.6,15
2015-01-04,九州沖縄,9.2625,15.5875,3.7125000000000004,0.0,5.0875,0.0,72.625,8
2015-01-04,北海道,-5.2749999999999995,-1.05,-9.3375,0.0625,6.2,0.25,65.625,8
2015-01-04,四国,6.525,12.3,0.7000000000000001,0.0,3.9000000000000004,0.0,70.25,4
2015-01-04,東北,1.05,3.5375,-1.5374999999999999,0.9375,0.7375,0.375,79.125,8
2015-01-04,近畿,4.425,9.425,-0.23750000000000002,0.0,5.1375,0.0,78.375,8
2015-01-04,関東,3.2,9.711111111111112,-1.822222222222222,0.0,6.188888888888889,0.0,56.888888888888886,9
2015-01-05,中国,6.942857142857143,12.428571428571429,2.2857142857142856,0.07142857142857142,6.857142857142857,0.0,74.42857142857143,7
2015-01-05,中部,4.626666666666666,9.853333333333333,0.6066666666666667,0.06666666666666667,7.113333333333333,0.0,71.4,15
2015-01-05,九州沖縄,10.375,15.4375,4.9875,0.0,5.025,0.0,76.875,8
2015-01-05,北海道,-4.3125,0.2874999999999999,-9.0,0.0,5.6125,0.0,70.375,8
2015-01-05,四国,8.625,13.275,4.175,0.0,7.5,0.0,67.0,4
2015-01-05,東北,2.3875,6.6625,-0.6875,0.125,4.75,0.0,80.0,8
2015-01-05,近畿,6.3625,11.0375,3.0124999999999997,0.1875,7.125,0.0,74.0,8
2015-01-05,関東,6.155555555555555,12.38888888888889,0.6888888888888889,0.0,8.922222222222222,0.0,58.333333333333336,9
2015-01-06,中国,8.542857142857143,12.814285714285715,5.257142857142857,9.5,1.1857142857142857,0.0,74.0,7
2015-01-06,中部,5.96,10.213333333333333,2.1733333333333333,14.3,0.28,0.18181818181818182,75.33333333333333,15
2015-01-06,九州沖縄,12.649999999999999,17.15,8.15,5.25,2.3,0.0,73.875,8
2015-01-06,北海道,-0.30000000000000004,4.6375,-7.3,5.4375,0.0,2.5,79.75,8
2015-01-06,四国,10.15,14.275,6.775,6.25,1.025,0.0,71.5,4
2015-01-06,東北,2.275,6.6875,-1.3375,5.875,0.07500000000000001,0.375,78.375,8
2015-01-06,近畿,7.425,11.175,4.45,8.8125,0.4125,0.0,81.0,8
2015-01-06,関東,8.244444444444445,13.333333333333334,3.7666666666666666,3.8333333333333335,0.6222222222222222,0.0,65.66666666666667,9
2015-01-07,中国,5.3428571428571425,8.37142857142857,2.8428571428571425,0.8571428571428571,1.9285714285714286,0.0,67.0,7
2015-01-07,中部,2.5533333333333332,6.260000000000001,-0.18666666666666662,1.6,4.933333333333334,0.6363636363636364,62.53333333333333,15
2015-01-07,九州沖縄,8.3,12.025,5.175,0.0,7.2875,0.0,56.125,8
2015-01-07,北海道,-3.3874999999999997,0.625,-6.825,7.5625,3.7,6.375,68.625,8
2015-01-07,四国,7.2,11.05,4.7250000000000005,0.0,3.8,0.0,55.0,4
2015-01-07,東北,-1.5125,0.7,-2.8875,3.125,1.725,5.125,69.125,8
2015-01-07,近畿,4.7875,7.8500000000000005,2.85,1.5,2.675,0.0,69.5,8
2015-01-07,関東,4.788888888888889,9.7,1.4222222222222223,0.0,6.566666666666666,0.0,39.0,9
2015-01-08,中国,4.857142857142857,7.8428571428571425,2.142857142857143,0.8571428571428571,1.9857142857142858,0.0,69.0,7
2015-01-08,中部,2.42,6.533333333333333,-0.8133333333333332,1.8666666666666667,5.14,0.5454545454545454,64.06666666666666,15
2015-01-08,九州沖縄,6.6875,10.425,3.6125,0.0,5.8,0.0,57.0,8
2015-01-08,北海道,0.375,2.0875,-1.6625,4.8125,2.8875,3.0,76.375,8
2015-01-08,四国,6.275,9.775,3.75,0.0,6.225,0.0,51.0,4
2015-01-08,東北,0.95,3.0625,-1.375,2.0625,1.75,3.0,68.875,8
2015-01-08,近畿,4.375,7.2375,2.525,1.1875,2.75,0.0,69.375,8
2015-01-08,関東,4.888888888888889,10.322222222222223,0.47777777777777775,0.0,9.233333333333334,0.0,39.44444444444444,9
2015-01-09,中国,4.671428571428572,8.67142857142857,1.242857142857143,3.642857142857143,3.442857142857143,0.0,68.28571428571429,7
2015-01-09,中部,2.713333333333333,6.906666666666666,-1.24,1.9666666666666666,5.573333333333333,0.09090909090909091,62.53333333333333,15
2015-01-09,九州沖縄,7.4125000000000005,12.1375,2.725,0.0,6.875,0.0,59.125,8
2015-01-09,北海道,0.012499999999999997,1.875,-1.7875,3.1875,3.225,1.5,70.5,8
2015-01-09,四国,6.324999999999999,10.625,2.975,0.0,5.449999999999999,0.0,54.25,4
2015-01-09,東北,1.075,3.6,-1.2375,6.875,3.3125,9.0,69.5,8
2015-01-09,近畿,4.7625,7.5125,2.9125,2.0625,1.8125,0.0,74.125,8
2015-01-09,関東,4.800000000000001,10.233333333333333,0.7666666666666666,0.0,9.333333333333334,0.0,40.55555555555556,9
2015-01-10,中国,5.385714285714286,9.585714285714285,2.3285714285714287,1.8571428571428572,4.814285714285715,0.2,61.0,7
2015-01-10,中部,2.4,6.666666666666667,-1.2866666666666664,7.533333333333333,5.333333333333333,1.6363636363636365,66.53333333333333,15
2015-01-10,九州沖縄,9.125,12.775,5.7,0.0,7.3,0.0,50.5,8
2015-01-10,北海道,-1.2,0.75,-3.0125,1.375,4.4875,2.0,65.25,8
2015-01-10,四国,6.6,10.3,3.6500000000000004,0.0,7.775,0.0,50.0,4
2015-01-10,東北,0.5125,2.6875,-1.15,3.125,2.5125,3.75,71.125,8
2015-01-10,近畿,4.8625,8.0625,2.3625,2.5625,3.3875,0.14285714285714285,68.25,8
2015-01-10,関東,4.622222222222223,10.144444444444444,-0.11111111111111116,0.0,9.177777777777777,0.0,41.55555555555556,9
2015-01-11,中国,5.471428571428571,10.62857142857143,0.8857142857142858,1.4285714285714286,4.0,0.0,63.42857142857143,7
2015-01-11,中部,2.98,7.64,-1.0866666666666667,6.766666666666667,3.7733333333333334,2.4545454545454546,69.8,15
2015-01-11,九州沖縄,9.3625,14.1125,4.45,0.0,6.2125,0.0,54.75,8
2015-01-11,北海道,-0.45,1.625,-2.4,3.5,2.8,3.0,73.5,8
2015-01-11,四国,7.175,11.925,2.2,0.0,5.2,0.0,52.75,4
2015-01-11,東北,0.675,3.5625,-1.3875,1.25,3.9375,2.375,68.375,8
2015-01-11,近畿,5.4125,10.525,1.9125,1.9375,4.625,0.0,64.375,8
2015-01-11,関東,4.7444444444444445,10.433333333333334,-0.8777777777777778,0.05555555555555555,8.522222222222222,0.0,54.0,9
2015-01-12,中国,4.428571428571429,7.385714285714286,1.842857142857143,1.7857142857142858,2.914285714285714,0.0,67.85714285714286,7
2015-01-12,中部,2.1133333333333333,5.573333333333334,-0.8866666666666667,1.7666666666666666,5.666666666666667,1.0909090909090908,62.8,15
2015-01-12,九州沖縄,7.625,11.075000000000001,4.575,0.0,6.2,0.0,54.875,8
2015-01-12,北海道,-0.325,1.675,-2.4,2.0,1.375,2.125,76.125,8
2015-01-12,四国,5.725,8.475,3.225,0.0,5.5,0.0,54.0,4
2015-01-12,東北,1.1375,4.4375,-2.35,0.8125,4.3,1.375,72.5,8
2015-01-12,近畿,3.8375,6.925,1.45,1.1875,4.4625,0.0,69.75,8
2015-01-12,関東,4.2444444444444445,8.7,0.4,0.0,9.38888888888889,0.0,44.22222222222222,9
2015-01-13,中国,5.328571428571428,10.37142857142857,1.7142857142857142,0.0,5.371428571428572,0.0,66.57142857142857,7
2015-01-13,中部,2.9133333333333336,8.04,-1.4,0.0,6.22,0.09090909090909091,63.4,15
2015-01-13,九州沖縄,8.375,12.775,3.9499999999999997,0.0,5.4625,0.0,59.5,8
2015-01-13,北海道,-1.325,1.25,-4.775,0.375,2.7875,0.5,67.375,8
2015-01-13,四国,6.1,10.9,1.05,0.0,7.0,0.0,54.5,4
2015-01-13,東北,2.9,5.8,0.625,0.0625,4.05,0.0,60.75,8
2015-01-13,近畿,5.3,8.6,1.6875,0.0,1.5375,0.0,63.75,8
2015-01-13,関東,4.844444444444445,10.7,-0.011111111111111072,0.0,9.444444444444445,0.0,46.44444444444444,9
2015-01-14,中国,5.3,9.114285714285714,1.0714285714285714,1.2142857142857142,0.5142857142857143,0.0,73.57142857142857,7
2015-01-14,中部,3.1933333333333334,8.133333333333333,-2.1599999999999997,0.0,3.2933333333333334,0.0,68.06666666666666,15
2015-01-14,九州沖縄,10.25,13.7125,7.5,12.3125,0.037500000000000006,0.0,73.875,8
2015-01-14,北海道,-1.0750000000000002,3.2125,-5.9,0.0625,6.4,0.375,69.75,8
2015-01-14,四国,6.699999999999999,9.925,2.575,1.125,0.65,0.0,70.25,4
2015-01-14,東北,3.2625,7.4875,-1.35,0.0,5.575,0.0,63.0,8
2015-01-14,近畿,4.375,7.975,0.0,0.0,0.9125,0.0,73.125,8
2015-01-14,関東,5.2444444444444445,10.833333333333334,-0.9555555555555555,0.0,6.333333333333333,0.0,54.0,9
2015-01-15,中国,6.857142857142857,9.385714285714286,4.814285714285714,32.357142857142854,0.05714285714285715,0.0,86.14285714285714,7
2015-01-15,中部,4.253333333333333,6.573333333333333,2.493333333333333,24.033333333333335,0.11333333333333333,3.8181818181818183,83.73333333333333,15
2015-01-15,九州沖縄,11.5625,14.237499999999999,8.725,25.75,2.275,0.0,79.125,8
2015-01-15,北海道,-1.675,0.9875,-4.5875,0.1875,4.1,0.75,75.25,8
2015-01-15,四国,8.4,10.825,6.3,39.375,1.05,0.0,81.0,4
2015-01-15,東北,1.8125,4.3125,-0.2625,7.5,0.0125,2.375,83.5,8
2015-01-15,近畿,6.65,8.65,5.025,27.625,0.125,0.0,84.0,8
2015-01-15,関東,5.2444444444444445,7.977777777777778,2.788888888888889,30.444444444444443,0.0,0.5555555555555556,76.66666666666667,9
2015-01-16,中国,7.671428571428572,11.457142857142857,4.314285714285715,0.7857142857142857,4.057142857142857,0.0,71.71428571428571,7
2015-01-16,中部,4.553333333333333,8.353333333333333,1.32,0.03333333333333333,5.46,0.0,71.66666666666667,15
2015-01-16,九州沖縄,10.0375,13.95,5.975,0.0625,4.4125,0.0,71.875,8
2015-01-16,北海道,-2.4,-0.037500000000000006,-4.5875,0.6875,4.1,2.125,73.0,8
2015-01-16,四国,8.275,11.8,4.525,0.0,6.199999999999999,0.0,65.75,4
2015-01-16,東北,2.975,5.8625,0.8375,0.0,3.85,0.125,68.375,8
2015-01-16,近畿,6.6375,9.4,3.9,0.0,1.1375,0.0,69.875,8
2015-01-16,関東,7.211111111111112,11.422222222222222,3.1666666666666665,0.5555555555555556,7.3999999999999995,0.0,63.55555555555556,9
2015-01-17,中国,4.971428571428571,8.385714285714286,1.6428571428571428,4.357142857142857,3.0,0.0,64.42857142857143,7
2015-01-17,中部,2.7199999999999998,6.8933333333333335,-0.9066666666666666,5.9,3.1733333333333333,3.090909090909091,67.53333333333333,15
2015-01-17,九州沖縄,8.3,10.875,3.9625,0.0,6.45,0.0,49.75,8
2015-01-17,北海道,-4.05,-0.7749999999999999,-7.1375,12.1875,1.025,14.5,80.875,8
2015-01-17,四国,6.725,10.075,3.375,0.25,4.425000000000001,0.0,52.5,4
2015-01-17,東北,-0.3375,4.0375,-4.7375,4.4375,2.2125,6.0,78.0,8
2015-01-17,近畿,4.625,7.95,2.1875,4.9375,3.85,0.2857142857142857,71.375,8
2015-01-17,関東,5.199999999999999,10.355555555555556,0.35555555555555557,0.1111111111111111,6.855555555555556,0.0,56.44444444444444,9
2015-01-18,中国,4.457142857142857,9.514285714285714,-0.4428571428571428,0.07142857142857142,6.371428571428572,0.0,68.0,7
2015-01-18,中部,1.84,7.193333333333333,-2.606666666666667,0.7,7.680000000000001,0.6363636363636364,62.6,15
2015-01-18,九州沖縄,6.975,12.225000000000001,1.2625,0.0,4.8375,0.0,60.875,8
2015-01-18,北海道,-5.8375,-3.85,-8.475,1.0625,4.4375,0.75,62.875,8
2015-01-18,四国,5.225,10.125,0.8999999999999999,0.0,7.45,0.0,56.5,4
2015-01-18,東北,-1.15,1.775,-4.75,1.625,3.2375000000000003,2.875,68.375,8
2015-01-18,近畿,4.2375,8.475,1.2125,0.25,4.9625,0.0,72.75,8
2015-01-18,関東,3.533333333333333,9.38888888888889,-1.4,0.0,9.566666666666666,0.0,42.77777777777778,9
2015-01-19,中国,6.142857142857143,9.342857142857143,3.1714285714285713,3.5,2.7857142857142856,0.0,67.0,7
2015-01-19,中部,3.5133333333333336,7.72,-1.1400000000000001,4.033333333333333,3.36,1.0,69.33333333333333,15
2015-01-19,九州沖縄,9.8375,12.8625,6.175,0.25,6.6125,0.0,54.375,8
2015-01-19,北海道,-5.7375,-2.575,-9.525,0.5625,2.225,0.75,70.5,8
2015-01-19,四国,7.125,11.125,3.125,0.75,5.575,0.0,58.0,4
2015-01-19,東北,-0.7000000000000001,3.35,-4.7,2.9375,1.575,4.625,79.625,8
2015-01-19,近畿,5.7,10.225,1.8,3.5,4.8,0.0,69.125,8
2015-01-19,関東,4.711111111111111,11.588888888888889,-1.1555555555555554,0.0,8.766666666666667,0.0,51.666666666666664,9
2015-01-20,中国,5.885714285714286,10.585714285714285,2.3428571428571425,0.21428571428571427,4.971428571428571,0.0,70.0,7
