7091,20250801,2025-08-01,IHSA,4524486111495,21SJ-14K ﾚｻﾞｰｼﾞｬｹｯﾄ BK L 輝龍,21SJ-14K,BK 輝龍,L,11.00,0.00,11.00,NULL,NULL,未入荷,248
7171,20251002,2025-10-02,IHSA,4524486093715,21SJ-14K ﾚｻﾞｰｼﾞｬｹｯﾄ BK XL 桧垣桜,21SJ-14K,BK 桧垣,XL,11.00,0.00,11.00,NULL,NULL,未入荷,186
7348,20260206,2026-02-06,IHSA,4524486109485,21SJ-14K ﾚｻﾞｰｼﾞｬｹｯﾄ BK M 鳳凰,21SJ-14K,BK 鳳凰,M,11.00,0.00,11.00,NULL,NULL,未入荷,59
7171,20251002,2025-10-02,IHSA,4524486093708,21SJ-14K ﾚｻﾞｰｼﾞｬｹｯﾄ BK L 桧垣桜,21SJ-14K,BK 桧垣,L,10.00,0.00,10.00,NULL,NULL,未入荷,186
7282,20251210,2025-12-10,IHSA,4524486113505,21SJ-14K ﾚｻﾞｰｼﾞｬｹｯﾄ BK S 桧垣桜,21SJ-14K,BK 桧垣,S,10.00,0.00,10.00,NULL,NULL,未入荷,117
7348,20260206,2026-02-06,IHSA,4524486109492,21SJ-14K ﾚｻﾞｰｼﾞｬｹｯﾄ BK L 鳳凰,21SJ-14K,BK 鳳凰,L,10.00,0.00,10.00,NULL,NULL,未入荷,59
7348,20260206,2026-02-06,IHSA,4524486113499,21SJ-14K ﾚｻﾞｰｼﾞｬｹｯﾄ BK S 流水雪輪,21SJ-14K,BK 流水,S,10.00,0.00,10.00,NULL,NULL,未入荷,59
7348,20260206,2026-02-06,IHSA,4524486109522,21SJ-14K ﾚｻﾞｰｼﾞｬｹｯﾄ BK XLW 流水雪輪,21SJ-14K,BK 流水,XLW,10.00,0.00,10.00,NULL,NULL,未入荷,59
7363,20260304,2026-03-04,IHSA,4524486114335,21SJ-14K ﾚｻﾞｰｼﾞｬｹｯﾄ BK XL 虎,21SJ-14K,BK 虎,XL,10.00,0.00,10.00,NULL,NULL,未入荷,33
6961,20250508,2025-05-08,IHSA,4524486093678,21SJ-14K ﾚｻﾞｰｼﾞｬｹｯﾄ BK L 流水雪輪,21SJ-14K,BK 流水,L,12.00,3.00,9.00,20260331,20260331,一部入荷,333
7001,20250602,2025-06-02,IHSA,4524486093678,21SJ-14K ﾚｻﾞｰｼﾞｬｹｯﾄ BK L 流水雪輪,21SJ-14K,BK 流水,L,9.00,0.00,9.00,NULL,NULL,未入荷,308
7091,20250801,2025-08-01,IHSA,4524486111501,21SJ-14K ﾚｻﾞｰｼﾞｬｹｯﾄ BK XL 輝龍,21SJ-14K,BK 輝龍,XL,18.00,9.00,9.00,20260128,20260128,一部入荷,248
7171,20251002,2025-10-02,IHSA,4524486093692,21SJ-14K ﾚｻﾞｰｼﾞｬｹｯﾄ BK M 桧垣桜,21SJ-14K,BK 桧垣,M,10.00,1.00,9.00,20260331,20260331,一部入荷,186
7171,20251002,2025-10-02,IHSA,4524486109515,21SJ-14K ﾚｻﾞｰｼﾞｬｹｯﾄ BK XLW 桧垣桜,21SJ-14K,BK 桧垣,XLW,9.00,0.00,9.00,NULL,NULL,未入荷,186
7316,20260108,2026-01-08,IHSA,4524486093647,21SJ-14K ﾚｻﾞｰｼﾞｬｹｯﾄ BK L 風神雷神BE,21SJ-14K,BK-BE風,L,9.00,0.00,9.00,NULL,NULL,未入荷,88
7316,20260108,2026-01-08,IHSA,4524486093630,21SJ-14K ﾚｻﾞｰｼﾞｬｹｯﾄ BK M 風神雷神BE,21SJ-14K,BK-BE風,M,9.00,0.00,9.00,NULL,NULL,未入荷,88
