商品コード,入出荷日,入荷数
4524486093692,2026-03-31,16.0
4524486093692,2026-03-31,1.0
4524486093708,2021-03-03,8.0
4524486093708,2021-03-31,10.0
4524486093708,2021-09-14,16.0
4524486093708,2022-04-07,9.0
4524486093708,2022-07-12,8.0
4524486093708,2022-07-12,8.0
4524486093708,2022-08-12,8.0
4524486093708,2022-10-12,11.0
4524486093708,2023-01-16,5.0
4524486093708,2023-02-16,10.0
4524486093708,2023-04-14,12.0
4524486093708,2023-05-23,10.0
4524486093708,2023-06-20,25.0
4524486093708,2023-08-01,10.0
4524486093708,2023-11-01,21.0
4524486093708,2023-12-19,4.0
4524486093708,2024-01-24,13.0
4524486093708,2024-04-03,12.0
4524486093708,2024-05-07,6.0
4524486093708,2024-06-14,4.0
4524486093708,2024-12-28,8.0
4524486093708,2025-03-24,3.0
4524486093708,2025-05-20,7.0
4524486093708,2025-07-15,10.0
4524486093708,2025-08-26,10.0
4524486093708,2025-10-22,15.0
4524486093708,2025-12-01,10.0
4524486093708,2026-01-28,5.0
4524486093708,2026-03-31,6.0
4524486093708,2026-03-31,20.0
4524486093715,2021-03-03,5.0
4524486093715,2021-03-31,10.0
4524486093715,2021-09-14,4.0
4524486093715,2022-04-07,12.0
4524486093715,2022-07-12,6.0
4524486093715,2022-08-12,6.0
4524486093715,2022-10-12,11.0
4524486093715,2023-02-16,5.0
4524486093715,2023-04-14,11.0
4524486093715,2023-05-23,5.0
4524486093715,2023-05-23,10.0
4524486093715,2023-08-01,10.0
4524486093715,2023-11-01,10.0
4524486093715,2023-12-19,3.0
4524486093715,2024-01-24,5.0
4524486093715,2024-04-03,3.0
4524486093715,2024-08-07,14.0
4524486093715,2024-12-28,3.0
4524486093715,2025-03-24,3.0
4524486093715,2025-05-20,3.0
4524486093715,2025-07-15,4.0
4524486093715,2025-07-15,8.0
4524486093715,2025-08-26,11.0
4524486093715,2025-10-22,5.0
4524486093715,2025-10-22,5.0
4524486093715,2026-01-28,1.0
4524486093715,2026-03-31,5.0
4524486093715,2026-03-31,14.0
4524486094958,2021-09-14,8.0
4524486094958,2022-05-20,2.0
4524486094958,2022-07-12,5.0
4524486094958,2022-10-12,7.0
4524486094958,2023-04-14,7.0
4524486094958,2023-08-28,6.0
4524486094958,2023-11-01,7.0
4524486094958,2024-05-07,1.0
4524486094958,2024-06-14,5.0
4524486094958,2025-05-20,7.0
4524486094958,2025-07-15,3.0
4524486094958,2025-07-15,1.0
4524486094958,2025-08-26,4.0
4524486094958,2026-01-28,1.0
4524486094965,2021-09-14,19.0
4524486094965,2022-05-20,7.0
4524486094965,2022-07-12,5.0
4524486094965,2022-10-12,11.0
4524486094965,2022-11-11,6.0
4524486094965,2023-04-14,3.0
4524486094965,2023-11-01,3.0
4524486094965,2024-04-03,3.0
4524486094965,2024-06-14,5.0
4524486094965,2024-11-21,23.0
4524486094965,2025-05-20,4.0
4524486094965,2025-07-15,12.0
4524486094965,2025-08-26,4.0
4524486094965,2025-08-26,3.0
4524486094965,2025-10-22,5.0
4524486094965,2026-03-31,2.0
4524486094965,2026-03-31,10.0
4524486094965,2026-03-31,3.0
4524486094972,2021-09-14,17.0
4524486094972,2022-05-20,7.0
4524486094972,2022-07-12,11.0
4524486094972,2022-10-12,7.0
4524486094972,2022-11-11,2.0
4524486094972,2023-04-14,4.0
4524486094972,2023-08-01,5.0
4524486094972,2023-08-28,10.0
4524486094972,2023-08-28,5.0
4524486094972,2024-06-14,4.0
4524486094972,2024-06-14,5.0
4524486094972,2024-06-14,5.0
4524486094972,2025-05-20,7.0
4524486094972,2025-05-20,1.0
4524486094972,2025-07-15,7.0
4524486094972,2025-07-15,9.0
4524486094972,2025-08-26,9.0
4524486094972,2026-03-31,1.0
4524486097959,2022-05-20,4.0
4524486097959,2022-07-12,3.0
4524486097959,2023-06-20,5.0
4524486097959,2023-12-19,10.0
4524486097959,2024-03-06,3.0
4524486097959,2024-07-10,8.0
4524486097959,2024-08-07,10.0
4524486097959,2025-02-05,4.0
4524486097959,2025-07-15,5.0
4524486097959,2025-10-22,3.0
4524486097959,2025-10-22,2.0
4524486097959,2026-03-31,8.0
4524486097966,2022-05-20,5.0
4524486097966,2022-10-12,3.0
4524486097966,2023-08-28,6.0
4524486097966,2024-03-06,3.0
4524486097966,2024-04-03,11.0
4524486097966,2024-11-21,12.0
4524486097966,2025-10-22,3.0
4524486097973,2022-04-07,10.0
4524486097973,2022-07-12,3.0
4524486097973,2022-10-12,4.0
4524486097973,2023-04-14,5.0
4524486097973,2023-12-19,10.0
4524486097973,2024-07-10,14.0
4524486097973,2024-08-07,5.0
4524486097973,2025-05-20,3.0
4524486097973,2025-07-15,10.0
4524486103230,2023-02-16,2.0
4524486103230,2023-06-20,5.0
4524486103230,2023-08-01,4.0
4524486103230,2023-11-01,5.0
4524486103230,2023-12-19,5.0
4524486103230,2024-01-24,10.0
4524486103230,2024-03-06,7.0
4524486103230,2024-09-10,4.0
4524486103230,2024-10-11,7.0
4524486103230,2025-02-05,4.0
4524486103230,2025-10-22,5.0
4524486103230,2026-01-28,2.0
4524486103230,2026-03-31,1.0
4524486103230,2026-03-31,1.0
4524486103230,2026-03-31,1.0
4524486103247,2023-02-16,2.0
4524486103247,2023-06-20,5.0
4524486103247,2023-08-01,12.0
4524486103247,2023-11-01,3.0
4524486103247,2023-12-19,4.0
4524486103247,2024-01-24,17.0
4524486103247,2024-03-06,6.0
4524486103247,2024-09-10,6.0
4524486103247,2024-09-10,1.0
4524486103247,2024-10-11,20.0
4524486103247,2025-05-20,3.0
4524486103247,2025-07-15,7.0
4524486103247,2025-10-22,5.0
4524486103247,2026-03-31,11.0
4524486103254,2023-02-16,2.0
4524486103254,2023-06-20,5.0
4524486103254,2023-08-01,6.0
4524486103254,2023-12-19,4.0
4524486103254,2024-01-24,10.0
4524486103254,2024-03-06,3.0
4524486103254,2024-04-03,2.0
4524486103254,2024-07-10,9.0
4524486103254,2024-09-10,5.0
4524486103254,2024-10-11,17.0
4524486103254,2025-07-15,4.0
4524486106538,2023-12-19,7.0
4524486106538,2024-01-24,3.0
4524486106538,2024-06-14,6.0
4524486106538,2024-08-07,6.0
4524486106538,2024-09-10,9.0
4524486106538,2024-10-11,3.0
4524486106538,2025-05-20,3.0
4524486106538,2025-12-01,5.0
4524486106545,2023-12-19,9.0
4524486106545,2024-01-24,1.0
4524486106545,2024-06-14,7.0
4524486106545,2024-08-07,5.0
4524486106545,2024-09-10,12.0
4524486106545,2025-02-05,6.0
4524486106545,2025-03-24,2.0
4524486106545,2025-05-20,5.0
4524486106545,2025-08-26,15.0
4524486106545,2025-10-22,5.0
4524486106545,2025-12-01,2.0
4524486106545,2026-03-31,4.0
4524486106545,2026-03-31,1.0
4524486106552,2023-12-19,10.0
4524486106552,2024-06-14,3.0
4524486106552,2024-08-07,10.0
4524486106552,2024-09-10,3.0
4524486106552,2024-12-28,4.0
4524486106552,2025-02-05,5.0
4524486106552,2025-02-05,6.0
4524486106552,2025-05-20,5.0
4524486106552,2025-08-26,7.0
4524486106552,2025-10-22,8.0
4524486106552,2025-12-01,8.0
4524486106552,2026-03-31,3.0
4524486106552,2026-03-31,7.0
4524486106590,2024-01-24,3.0
4524486107559,2024-03-06,10.0
4524486107559,2024-05-07,6.0
4524486107559,2024-06-14,2.0
4524486107566,2024-03-06,10.0
4524486107566,2024-04-03,6.0
4524486107566,2024-05-07,6.0
4524486107573,2024-03-06,13.0
4524486107573,2024-04-03,7.0
4524486107740,2024-09-10,3.0
4524486107740,2024-10-11,5.0
4524486107757,2024-10-11,8.0
4524486107764,2024-10-11,7.0
4524486107771,2024-10-11,3.0
4524486109485,2024-09-10,10.0
4524486109485,2024-12-28,2.0
4524486109485,2025-02-05,6.0
4524486109485,2025-03-25,2.0
4524486109485,2025-05-20,5.0
4524486109485,2025-07-15,1.0
4524486109485,2025-07-15,12.0
4524486109485,2026-01-28,7.0
4524486109485,2026-03-31,4.0
4524486109492,2024-07-17,1.0
4524486109492,2024-09-10,14.0
4524486109492,2024-12-28,2.0
4524486109492,2025-02-05,3.0
4524486109492,2025-03-25,7.0
4524486109492,2025-05-20,5.0
4524486109492,2025-07-15,8.0
4524486109492,2025-07-15,13.0
4524486109492,2025-12-01,17.0
4524486109508,2024-09-10,10.0
4524486109508,2024-12-28,1.0
4524486109508,2025-02-05,7.0
4524486109508,2025-03-25,5.0
4524486109508,2025-05-20,9.0
4524486109508,2025-05-20,3.0
4524486109508,2025-07-15,7.0
4524486109508,2026-01-28,30.0
4524486109508,2026-03-31,14.0
4524486109515,2024-09-10,3.0
4524486109515,2024-10-11,5.0
4524486109515,2024-11-21,7.0
4524486109515,2025-05-20,3.0
4524486109515,2025-07-15,11.0
4524486109515,2025-10-22,5.0
4524486109522,2024-09-10,3.0
4524486109522,2024-10-11,5.0
4524486109522,2024-11-21,7.0
4524486109522,2025-05-20,10.0
4524486109522,2025-08-26,5.0
4524486109522,2025-10-22,5.0
4524486109522,2026-03-31,10.0
4524486109522,2026-03-31,1.0
4524486111488,2025-02-05,4.0
4524486111488,2025-07-15,5.0
4524486111488,2025-08-26,7.0
4524486111488,2026-01-28,3.0
4524486111495,2025-02-05,5.0
4524486111495,2025-07-15,9.0
4524486111495,2025-08-26,14.0
4524486111501,2025-02-05,5.0
4524486111501,2025-07-15,7.0
4524486111501,2025-08-26,7.0
4524486111501,2026-01-28,9.0
4524486113499,2025-10-22,5.0
4524486113499,2025-12-01,5.0
4524486113505,2025-10-22,5.0
4524486113505,2025-12-01,5.0
4524486114311,2025-10-22,2.0
4524486114311,2026-01-28,4.0
4524486114311,2026-03-31,2.0
4524486114328,2025-10-22,3.0
4524486114328,2026-01-28,6.0
4524486114328,2026-03-31,5.0
4524486114335,2025-10-22,2.0
4524486114335,2026-01-28,2.0
4524486114335,2026-03-31,3.0
